SampleID	MapID	Location	Experiment
FIRE154	UDM13	Blodgett	Prescribed
FIRE155	USM14	Blodgett	Prescribed
FIRE156	UDM14	Blodgett	Prescribed
FIRE157	USM15	Blodgett	Prescribed
FIRE158	UDM15	Blodgett	Prescribed
FIRE159	USM16	Blodgett	Prescribed
FIRE160	UDM16	Blodgett	Prescribed
FIRE161	USM17	Blodgett	Prescribed
FIRE162	UDM17	Blodgett	Prescribed
FIRE163	USM18	Blodgett	Prescribed
FIRE164	UDM18	Blodgett	Prescribed
FIRE165	BSM20	Blodgett	Prescribed
FIRE166	BDM20	Blodgett	Prescribed
FIRE167	BSM21	Blodgett	Prescribed
FIRE168	BDM21	Blodgett	Prescribed
FIRE169	BSM22	Blodgett	Prescribed
FIRE170	BDM22	Blodgett	Prescribed
FIRE171	BSM23	Blodgett	Prescribed
FIRE172	BDM23	Blodgett	Prescribed
FIRE173	BSM24	Blodgett	Prescribed
FIRE174	BDM24	Blodgett	Prescribed
FIRE175	USM19	Blodgett	Prescribed
FIRE176	UDM19	Blodgett	Prescribed
FIRE177	USM20	Blodgett	Prescribed
FIRE178	UDM20	Blodgett	Prescribed
FIRE179	USM21	Blodgett	Prescribed
FIRE180	USM22	Blodgett	Prescribed
FIRE181	UDM22	Blodgett	Prescribed
FIRE182	USM23	Blodgett	Prescribed
FIRE183	UDM23	Blodgett	Prescribed
FIRE184	USM24	Blodgett	Prescribed
FIRE185	UDM24	Blodgett	Prescribed
FIRE186	BDM10	Blodgett	Prescribed
FIRE187	BDM25	Blodgett	Prescribed
FIRE188	UDM21	Blodgett	Prescribed
FIRE189	BDM26	Blodgett	Prescribed
FIRE190	PSC6	All	Control
FIRE191	BDM27	Blodgett	Prescribed
FIRE192	BSM28	Blodgett	Prescribed
FIRE193	BDM28	Blodgett	Prescribed
FIRE194	BSM29	Blodgett	Prescribed
FIRE195	BDM29	Blodgett	Prescribed
FIRE196	BSM30	Blodgett	Prescribed
FIRE197	BDM30	Blodgett	Prescribed
FIRE198	USM25	Blodgett	Prescribed
FIRE199	UDM25	Blodgett	Prescribed
FIRE200	UDM26	Blodgett	Prescribed
FIRE201	USM27	Blodgett	Prescribed
FIRE202	UDM27	Blodgett	Prescribed
FIRE203	USM28	Blodgett	Prescribed
FIRE204	UDM28	Blodgett	Prescribed
FIRE205	USM29	Blodgett	Prescribed
FIRE206	UDM29	Blodgett	Prescribed
FIRE207	USM30	Blodgett	Prescribed
FIRE208	UDM30	Blodgett	Prescribed
FIRE209	BDM31	Blodgett	Prescribed
FIRE210	BDM32	Blodgett	Prescribed
FIRE211	BSM33	Blodgett	Prescribed
FIRE212	BDM33	Blodgett	Prescribed
FIRE213	BSM34	Blodgett	Prescribed
FIRE214	BDM34	Blodgett	Prescribed
FIRE215	BSM36	Blodgett	Prescribed
FIRE216	BDM36	Blodgett	Prescribed
FIRE217	UDM31	Blodgett	Prescribed
FIRE218	USM32	Blodgett	Prescribed
FIRE219	UDM32	Blodgett	Prescribed
FIRE220	USM33	Blodgett	Prescribed
FIRE221	USM34	Blodgett	Prescribed
FIRE222	UDM34	Blodgett	Prescribed
FIRE223	USM35	Blodgett	Prescribed
FIRE224	UDM35	Blodgett	Prescribed
FIRE225	UDM36	Blodgett	Prescribed
FIRE226	MM43	McLaughlin	Wildfire
FIRE227	MM44	McLaughlin	Wildfire
FIRE228	MM45	McLaughlin	Wildfire
FIRE229	MM46	McLaughlin	Wildfire
FIRE230	MM47	McLaughlin	Wildfire
FIRE231	MM48	McLaughlin	Wildfire
FIRE232	HN2	Blodgett	Heat
FIRE233	HN4	Blodgett	Heat
FIRE234	HN6	Blodgett	Heat
FIRE235	QM52	Quail	Wildfire
FIRE236	MM1	McLaughlin	Wildfire
FIRE237	MM2	McLaughlin	Wildfire
FIRE238	MM3	McLaughlin	Wildfire
FIRE239	MM5	McLaughlin	Wildfire
FIRE240	MM6	McLaughlin	Wildfire
FIRE241	MM7	McLaughlin	Wildfire
FIRE242	MM8	McLaughlin	Wildfire
FIRE243	MM9	McLaughlin	Wildfire
FIRE244	MM14	McLaughlin	Wildfire
FIRE245	MM16	McLaughlin	Wildfire
FIRE246	MM24	McLaughlin	Wildfire
FIRE247	BSM10	Blodgett	Prescribed
FIRE248	BDM11	Blodgett	Prescribed
FIRE249	BSM12	Blodgett	Prescribed
FIRE250	BDM12	Blodgett	Prescribed
FIRE251	USM8	Blodgett	Prescribed
FIRE252	UDM8	Blodgett	Prescribed
FIRE253	USM9	Blodgett	Prescribed
FIRE254	UDM9	Blodgett	Prescribed
FIRE255	USM10	Blodgett	Prescribed
FIRE256	UDM12	Blodgett	Prescribed
FIRE257	BSM19	Blodgett	Prescribed
FIRE258	BDM19	Blodgett	Prescribed
FIRE259	BSM26	Blodgett	Prescribed
FIRE260	BSM32	Blodgett	Prescribed
FIRE261	BSM35	Blodgett	Prescribed
FIRE262	BDM35	Blodgett	Prescribed
FIRE263	USM31	Blodgett	Prescribed
FIRE264	USM36	Blodgett	Prescribed
FIRE265	C8	Blodgett	Heat
FIRE266	MM11	McLaughlin	Wildfire
FIRE267	MM12	McLaughlin	Wildfire
FIRE268	MM13	McLaughlin	Wildfire
FIRE269	MM15	McLaughlin	Wildfire
FIRE270	MM17	McLaughlin	Wildfire
FIRE271	MM18	McLaughlin	Wildfire
