"","OTU","Sensitive_A","Tolerant_A","Sensitive_O","Tolerant_O"
"84","C1_S49_L004_contig_3714",FALSE,FALSE,TRUE,FALSE
"85","C1_S49_L004_contig_3722",TRUE,FALSE,TRUE,FALSE
"86","C1_S49_L004_contig_3733",FALSE,FALSE,FALSE,TRUE
"87","C1_S49_L004_contig_3745",FALSE,FALSE,TRUE,FALSE
"88","C1_S49_L004_contig_3761",TRUE,FALSE,FALSE,FALSE
"89","C1_S49_L004_contig_3770",FALSE,FALSE,FALSE,TRUE
"90","C1_S49_L004_contig_3771",TRUE,FALSE,FALSE,FALSE
"91","C1_S49_L004_contig_3773",FALSE,FALSE,TRUE,FALSE
"92","C1_S49_L004_contig_3780",FALSE,FALSE,FALSE,TRUE
"93","C1_S49_L004_contig_3782",FALSE,TRUE,FALSE,FALSE
"94","C1_S49_L004_contig_3787",TRUE,FALSE,TRUE,FALSE
"95","C1_S49_L004_contig_3788",FALSE,TRUE,FALSE,FALSE
"96","C1_S49_L004_contig_3799",TRUE,FALSE,FALSE,FALSE
"97","C1_S49_L004_contig_3809",TRUE,FALSE,FALSE,FALSE
"98","C1_S49_L004_contig_3814",TRUE,FALSE,FALSE,FALSE
"99","C1_S49_L004_contig_3816",FALSE,FALSE,FALSE,TRUE
"100","C1_S49_L004_contig_3827",TRUE,FALSE,TRUE,FALSE
"101","C1_S49_L004_contig_3839",FALSE,TRUE,FALSE,FALSE
"102","C1_S49_L004_contig_3846",FALSE,FALSE,FALSE,TRUE
"103","C1_S49_L004_contig_3853",TRUE,FALSE,TRUE,FALSE
"104","C1_S49_L004_contig_3856",FALSE,TRUE,FALSE,FALSE
"105","C1_S49_L004_contig_3865",TRUE,FALSE,TRUE,FALSE
"106","C1_S49_L004_contig_3870",TRUE,FALSE,FALSE,FALSE
"107","C1_S49_L004_contig_3883",FALSE,FALSE,TRUE,FALSE
"108","C1_S49_L004_contig_3884",FALSE,FALSE,TRUE,FALSE
"109","C1_S49_L004_contig_389",TRUE,FALSE,TRUE,FALSE
"110","C1_S49_L004_contig_3898",FALSE,TRUE,FALSE,FALSE
"111","C1_S49_L004_contig_3904",TRUE,FALSE,TRUE,FALSE
"112","C1_S49_L004_contig_3905",TRUE,FALSE,TRUE,FALSE
"113","C1_S49_L004_contig_3908",FALSE,FALSE,TRUE,FALSE
"114","C1_S49_L004_contig_3910",TRUE,FALSE,FALSE,FALSE
"115","C1_S49_L004_contig_3920",FALSE,FALSE,TRUE,FALSE
"116","C1_S49_L004_contig_3929",FALSE,FALSE,TRUE,FALSE
"117","C1_S49_L004_contig_3935",FALSE,FALSE,TRUE,FALSE
"118","C1_S49_L004_contig_3937",TRUE,FALSE,TRUE,FALSE
"119","C1_S49_L004_contig_3941",FALSE,FALSE,TRUE,FALSE
"120","C1_S49_L004_contig_3951",FALSE,FALSE,FALSE,TRUE
"121","C1_S49_L004_contig_3954",FALSE,FALSE,FALSE,TRUE
"122","C1_S49_L004_contig_3955",FALSE,FALSE,FALSE,TRUE
"123","C1_S49_L004_contig_3959",TRUE,FALSE,TRUE,FALSE
"124","C1_S49_L004_contig_3967",FALSE,FALSE,TRUE,FALSE
"125","C1_S49_L004_contig_3969",FALSE,FALSE,TRUE,FALSE
"126","C1_S49_L004_contig_3974",TRUE,FALSE,TRUE,FALSE
"127","C1_S49_L004_contig_3975",TRUE,FALSE,FALSE,FALSE
"128","C1_S49_L004_contig_3977",TRUE,FALSE,TRUE,FALSE
"129","C1_S49_L004_contig_3979",FALSE,FALSE,FALSE,TRUE
"130","C1_S49_L004_contig_3985",FALSE,FALSE,TRUE,FALSE
"131","C1_S49_L004_contig_3989",FALSE,FALSE,TRUE,FALSE
"132","C1_S49_L004_contig_3993",FALSE,TRUE,FALSE,FALSE
"133","C1_S49_L004_contig_417",TRUE,FALSE,FALSE,FALSE
"134","C1_S49_L004_contig_476",TRUE,FALSE,TRUE,FALSE
"135","C1_S49_L004_contig_504",FALSE,FALSE,FALSE,TRUE
"136","C1_S49_L004_contig_513",FALSE,FALSE,TRUE,FALSE
"137","C1_S49_L004_contig_62",FALSE,FALSE,TRUE,FALSE
"138","C1_S49_L004_contig_63",TRUE,FALSE,FALSE,FALSE
"139","C1_S49_L004_contig_631",FALSE,FALSE,TRUE,FALSE
